Data;Rodada;Mandante;Visitante;Gols_M;Gols_V;Resultado;Odds_M;Odds_E;Odds_V
19/05/2012;1;Palmeiras;Portuguesa;1;1;D;1,75;3,86;5,25
19/05/2012;1;Sport;Flamengo;1;1;D;2,83;3,39;2,68
20/05/2012;1;Figueirense;Nautico;2;1;H;1,6;4,04;6,72
20/05/2012;1;Botafogo;Sao Paulo;4;2;H;2,49;3,35;3,15
20/05/2012;1;Corinthians;Fluminense;0;1;A;1,96;3,53;4,41
20/05/2012;1;Internacional;Coritiba;2;0;H;1,76;3,63;5,66
20/05/2012;1;Ponte Preta;Atletico MG;0;1;A;3,12;3,45;2,44
20/05/2012;1;Bahia;Santos;0;0;D;2,33;3,44;3,32
20/05/2012;1;Cruzeiro;Atletico GO;0;0;D;1,83;3,74;4,82
20/05/2012;1;Vasco;Gremio;2;1;H;2,25;3,4;3,53
26/05/2012;2;Atletico GO;Ponte Preta;1;1;D;1,66;4,09;5,79
26/05/2012;2;Flamengo;Internacional;3;3;D;2,13;3,35;3,95
26/05/2012;2;Portuguesa;Vasco;0;1;A;2,5;3,5;2,67
27/05/2012;2;Nautico;Cruzeiro;0;0;D;3,15;3,31;2,49
27/05/2012;2;Atletico MG;Corinthians;1;0;H;2,04;3,43;4,09
27/05/2012;2;Coritiba;Botafogo;2;3;A;1,79;3,88;4,84
27/05/2012;2;Santos;Sport;0;0;D;1,42;4,76;9,52
27/05/2012;2;Sao Paulo;Bahia;1;0;H;1,47;4,74;7,68
27/05/2012;2;Fluminense;Figueirense;2;2;D;1,65;4,01;6
27/05/2012;2;Gremio;Palmeiras;1;0;H;1,97;3,59;4,26
06/06/2012;3;Atletico GO;Gremio;0;1;A;2,31;3,56;3,25
06/06/2012;3;Sport;Palmeiras;2;1;H;2,62;3,39;2,9
07/06/2012;3;Atletico MG;Bahia;1;1;D;1,46;4,55;8,5
07/06/2012;3;Coritiba;Portuguesa;2;0;H;1,7;3,94;5,59
07/06/2012;3;Vasco;Nautico;4;2;H;1,4;4,99;9,42
07/06/2012;3;Internacional;Sao Paulo;1;0;H;1,83;3,77;4,75
07/06/2012;3;Ponte Preta;Flamengo;2;2;D;2,52;3,53;2,94
07/06/2012;3;Santos;Fluminense;1;1;D;2,15;3,45;3,77
08/06/2012;3;Botafogo;Cruzeiro;2;3;A;2,17;3,39;3,79
08/06/2012;3;Corinthians;Figueirense;1;1;D;1,61;4,12;6,35
09/06/2012;4;Flamengo;Coritiba;3;1;H;2,06;3,51;3,95
10/06/2012;4;Palmeiras;Atletico MG;0;1;A;2,06;3,69;3,79
10/06/2012;4;Portuguesa;Atletico GO;2;0;H;2,19;3,43;3,67
10/06/2012;4;Bahia;Vasco;1;2;A;3,04;3,47;2,48
10/06/2012;4;Fluminense;Internacional;0;0;D;1,96;3,43;4,59
10/06/2012;4;Gremio;Corinthians;2;0;H;1,53;4,24;7,45
10/06/2012;4;Cruzeiro;Sport;1;0;H;1,54;4,26;7,3
10/06/2012;4;Figueirense;Ponte Preta;0;0;D;1,85;3,71;4,71
10/06/2012;4;Nautico;Botafogo;3;2;H;2,33;3,58;3,18
10/06/2012;4;Sao Paulo;Santos;1;0;H;1,85;3,7;4,74
16/06/2012;5;Cruzeiro;Figueirense;1;0;H;1,77;3,85;5,09
16/06/2012;5;Internacional;Botafogo;1;2;A;1,61;4,37;5,94
17/06/2012;5;Fluminense;Portuguesa;4;1;H;1,54;4,38;6,98
17/06/2012;5;Bahia;Sport;2;1;H;1,93;3,54;4,51
17/06/2012;5;Flamengo;Santos;1;0;H;1,75;3,96;5,13
17/06/2012;5;Palmeiras;Vasco;1;1;D;2,38;3,55;3,14
17/06/2012;5;Sao Paulo;Atletico MG;1;0;H;2,31;3,24;3,53
17/06/2012;5;Coritiba;Atletico GO;3;0;H;1,94;3,7;4,22
17/06/2012;5;Nautico;Gremio;1;0;H;2,7;3,42;2,8
17/06/2012;5;Ponte Preta;Corinthians;1;0;H;2,19;3,66;3,44
23/06/2012;6;Portuguesa;Sao Paulo;1;0;H;3,42;3,8;2,15
23/06/2012;6;Vasco;Cruzeiro;1;3;A;1,8;3,91;4,76
24/06/2012;6;Atletico MG;Nautico;5;1;H;1,35;5,09;10,75
24/06/2012;6;Corinthians;Palmeiras;2;1;H;2,92;3,35;2,63
24/06/2012;6;Figueirense;Bahia;1;1;D;1,59;4;6,99
24/06/2012;6;Gremio;Flamengo;2;0;H;1,63;3,97;6,33
24/06/2012;6;Atletico GO;Fluminense;1;4;A;2,78;3,46;2,69
24/06/2012;6;Botafogo;Ponte Preta;1;2;A;1,55;4,24;7,18
24/06/2012;6;Santos;Coritiba;2;2;D;1,69;4,12;5,35
24/06/2012;6;Sport;Internacional;0;2;A;2,93;3,33;2,65
30/06/2012;7;Cruzeiro;Sao Paulo;2;3;A;2,09;3,48;3,92
30/06/2012;7;Nautico;Fluminense;0;2;A;3,14;3,43;2,45
30/06/2012;7;Vasco;Ponte Preta;3;2;H;1,58;4,23;6,5
01/07/2012;7;Bahia;Internacional;1;1;D;2,98;3,41;2,54
01/07/2012;7;Coritiba;Sport;2;3;A;1,7;3,95;5,51
01/07/2012;7;Portuguesa;Santos;0;0;D;3,93;3,56;2,04
