Data;Rodada;Mandante;Visitante;Gols_M;Gols_V;Resultado;Odds_M;Odds_E;Odds_V
13/05/2017;1;Flamengo;Atletico MG;1;1;D;1,91;3,7;4,34
13/05/2017;1;Corinthians;Chapecoense;1;1;D;1,37;4,85;10,91
14/05/2017;1;Fluminense;Santos;3;2;H;2,01;3,75;3,83
14/05/2017;1;Avai;Vitoria;0;0;D;2,39;3,31;3,29
14/05/2017;1;Bahia;Athletico PR;6;2;H;1,73;3,61;5,91
14/05/2017;1;Cruzeiro;Sao Paulo;1;0;H;2,04;3,29;4,32
14/05/2017;1;Palmeiras;Vasco;4;0;H;1,42;4,96;8,52
14/05/2017;1;Ponte Preta;Sport;4;0;H;1,63;4,02;6,24
14/05/2017;1;Gremio;Botafogo;2;0;H;1,72;3,69;5,77
16/05/2017;1;Coritiba;Atletico GO;4;1;H;1,63;3,79;6,75
20/05/2017;2;Santos;Coritiba;1;0;H;1,6;4,14;6,3
20/05/2017;2;Atletico GO;Flamengo;0;3;A;4,42;3,52;1,94
20/05/2017;2;Chapecoense;Palmeiras;1;0;H;3,18;3,42;2,39
21/05/2017;2;Vasco;Bahia;2;1;H;1,88;3,65;4,58
21/05/2017;2;Atletico MG;Fluminense;1;2;A;1,68;4,22;5,21
21/05/2017;2;Athletico PR;Gremio;0;2;A;2,63;3,13;3,07
21/05/2017;2;Vitoria;Corinthians;0;1;A;3,25;3,36;2,38
21/05/2017;2;Botafogo;Ponte Preta;2;0;H;2,14;3,34;3,88
21/05/2017;2;Sport;Cruzeiro;1;1;D;2,73;3,21;2,88
23/05/2017;2;Sao Paulo;Avai;2;0;H;1,33;5,3;11,75
27/05/2017;3;Vasco;Fluminense;3;2;H;2,74;3,47;2,69
27/05/2017;3;Sao Paulo;Palmeiras;2;0;H;2,57;3,28;3,01
28/05/2017;3;Vitoria;Coritiba;0;1;A;2,23;3,32;3,63
28/05/2017;3;Atletico MG;Ponte Preta;2;2;D;1,55;4,17;7,15
28/05/2017;3;Atletico GO;Corinthians;0;1;A;4,28;3,4;2,01
28/05/2017;3;Athletico PR;Flamengo;1;1;D;2,99;3,32;2,53
28/05/2017;3;Santos;Cruzeiro;0;1;A;1,96;3,58;4,25
28/05/2017;3;Sport;Gremio;4;3;H;1,94;3,41;4,62
28/05/2017;3;Botafogo;Bahia;1;0;H;2,06;3,33;4,04
30/05/2017;3;Chapecoense;Avai;2;0;H;1,6;3,85;7,16
03/06/2017;4;Coritiba;Athletico PR;1;0;H;1,93;3,36;4,8
03/06/2017;4;Fluminense;Vitoria;2;1;H;1,58;4,22;6,46
03/06/2017;4;Corinthians;Santos;2;0;H;1,75;3,7;5,51
04/06/2017;4;Avai;Sport;1;0;H;2,47;3,22;3,22
04/06/2017;4;Flamengo;Botafogo;0;0;D;1,65;3,81;6,45
04/06/2017;4;Gremio;Vasco;2;0;H;1,4;4,83;9,55
04/06/2017;4;Palmeiras;Atletico MG;0;0;D;1,76;3,83;5,14
04/06/2017;4;Ponte Preta;Sao Paulo;1;0;H;2,45;3,29;3,19
04/06/2017;4;Cruzeiro;Chapecoense;0;2;A;1,56;3,95;7,79
06/06/2017;4;Bahia;Atletico GO;3;0;H;1,48;4,69;7,37
07/06/2017;5;Fluminense;Athletico PR;1;1;D;1,71;3,88;5,46
07/06/2017;5;Atletico MG;Avai;1;0;H;1,32;5,54;11,57
07/06/2017;5;Coritiba;Palmeiras;1;0;H;2,56;3,2;3,1
08/06/2017;5;Santos;Botafogo;1;0;H;1,75;3,85;5,18
08/06/2017;5;Sport;Flamengo;2;0;H;3,23;3,33;2,4
08/06/2017;5;Vasco;Corinthians;2;5;A;2,6;3,31;2,96
08/06/2017;5;Atletico GO;Ponte Preta;3;0;H;3,19;3,45;2,37
