Date;Season;Home;Away;HG;AG;Res;PH;PD;PA
31/05/2015;4;Internacional;Sao Paulo;0;0;D;2,48;3,34;3,09
31/05/2015;4;Figueirense;Cruzeiro;2;1;H;3,02;3,22;2,61
31/05/2015;4;Flamengo;Fluminense;2;3;A;2,4;3,33;3,25
03/06/2015;5;Athletico PR;Figueirense;1;0;H;1,65;3,66;6,83
03/06/2015;5;Chapecoense;Joinville;2;0;H;1,65;3,73;6,65
03/06/2015;5;Vasco;Ponte Preta;0;3;A;2,44;3,28;3,25
04/06/2015;5;Sao Paulo;Santos;3;2;H;1,9;3,64;4,45
04/06/2015;5;Avai;Atletico MG;1;4;A;3,95;3,61;2,03
04/06/2015;5;Cruzeiro;Flamengo;1;0;H;1,93;3,55;4,49
04/06/2015;5;Gremio;Corinthians;3;1;H;2,19;3,15;4,01
04/06/2015;5;Fluminense;Coritiba;2;0;H;1,83;3,52;5,15
05/06/2015;5;Palmeiras;Internacional;1;1;D;1,88;3,61;4,68
05/06/2015;5;Sport;Goias;1;0;H;1,76;3,53;5,71
06/06/2015;6;Atletico MG;Cruzeiro;1;3;A;1,69;3,97;5,46
06/06/2015;6;Flamengo;Chapecoense;1;0;H;1,82;3,56;5,14
06/06/2015;6;Santos;Ponte Preta;2;2;D;1,98;3,47;4,27
07/06/2015;6;Athletico PR;Vasco;2;0;H;1,67;3,85;5,99
07/06/2015;6;Joinville;Corinthians;0;1;A;4,41;3,21;2,05
07/06/2015;6;Sao Paulo;Gremio;2;0;H;1,81;3,45;5,44
07/06/2015;6;Internacional;Coritiba;2;0;H;1,67;3,85;6,05
07/06/2015;6;Figueirense;Palmeiras;2;1;H;3,42;3,32;2,32
07/06/2015;6;Fluminense;Sport;0;0;D;1,7;3,79;5,73
07/06/2015;6;Goias;Avai;0;1;A;1,82;3,53;5,23
10/06/2015;7;Atletico MG;Santos;2;2;D;1,53;4,58;6,61
13/06/2015;7;Chapecoense;Sao Paulo;0;1;A;2,7;3,12;2,99
13/06/2015;7;Corinthians;Internacional;2;1;H;1,71;3,66;5,92
13/06/2015;7;Coritiba;Flamengo;0;1;A;2,76;3,2;2,85
14/06/2015;7;Sport;Joinville;2;1;H;1,62;3,94;6,49
14/06/2015;7;Vasco;Cruzeiro;1;3;A;3,22;3,22;2,48
14/06/2015;7;Ponte Preta;Goias;0;0;D;1,6;3,91;7
14/06/2015;7;Avai;Figueirense;1;1;D;2,13;3,33;3,91
14/06/2015;7;Gremio;Athletico PR;2;1;H;1,69;3,72;6,09
14/06/2015;7;Palmeiras;Fluminense;2;1;H;1,85;3,54;4,99
19/06/2015;8;Figueirense;Internacional;0;0;D;2,88;3,21;2,73
20/06/2015;8;Flamengo;Atletico MG;0;2;A;2,56;3,44;2,91
20/06/2015;8;Santos;Corinthians;1;0;H;2,28;3,3;3,53
20/06/2015;8;Sport;Vasco;2;1;H;1,79;3,74;5
21/06/2015;8;Gremio;Palmeiras;1;0;H;2,02;3,45;4,15
21/06/2015;8;Cruzeiro;Chapecoense;0;1;A;1,62;3,92;6,53
21/06/2015;8;Athletico PR;Coritiba;2;2;D;1,96;3,4;4,52
21/06/2015;8;Joinville;Goias;2;1;H;2,39;3,12;3,49
21/06/2015;8;Sao Paulo;Avai;1;1;D;1,53;4,53;6,69
24/06/2015;8;Fluminense;Ponte Preta;2;0;H;2,03;3,42;4,16
27/06/2015;9;Avai;Gremio;1;2;A;3,5;3,22;2,34
27/06/2015;9;Chapecoense;Sport;1;1;D;2,04;3,39;4,19
28/06/2015;9;Corinthians;Figueirense;2;1;H;1,53;4,14;7,8
28/06/2015;9;Atletico MG;Joinville;1;0;H;1,23;6,52;16,59
28/06/2015;9;Coritiba;Cruzeiro;1;0;H;2,78;3,27;2,78
28/06/2015;9;Goias;Fluminense;1;2;A;2,41;3,2;3,36
28/06/2015;9;Palmeiras;Sao Paulo;4;0;H;2,17;3,38;3,74
28/06/2015;9;Ponte Preta;Athletico PR;2;1;H;1,92;3,58;4,45
28/06/2015;9;Internacional;Santos;1;0;H;2,14;3,41;3,77
28/06/2015;9;Vasco;Flamengo;1;0;H;3,95;3,28;2,14
01/07/2015;10;Sport;Internacional;3;0;H;2,03;3,41;4,18
01/07/2015;10;Vasco;Avai;1;0;H;1,85;3,59;4,82
02/07/2015;10;Atletico MG;Coritiba;2;0;H;1,36;5,15;10,15
02/07/2015;10;Palmeiras;Chapecoense;2;0;H;1,58;3,98;7
02/07/2015;10;Athletico PR;Sao Paulo;2;1;H;2,27;3,37;3,46
02/07/2015;10;Gremio;Cruzeiro;1;0;H;2,02;3,41;4,22
02/07/2015;10;Joinville;Flamengo;0;1;A;3,48;3,15;2,38
02/07/2015;10;Corinthians;Ponte Preta;2;0;H;1,79;3,58;5,3
02/07/2015;10;Figueirense;Goias;3;1;H;2,21;3,15;3,91
03/07/2015;10;Fluminense;Santos;2;1;H;2,22;3,45;3,52
04/07/2015;11;Coritiba;Joinville;0;0;D;1,68;3,59;6,48
05/07/2015;11;Chapecoense;Vasco;1;0;H;1,79;3,47;5,65
05/07/2015;11;Cruzeiro;Athletico PR;2;0;H;1,74;3,67;5,42
05/07/2015;11;Avai;Sport;2;2;D;2,32;3,34;3,39
05/07/2015;11;Goias;Corinthians;0;0;D;3,11;3,08;2,64
05/07/2015;11;Santos;Gremio;1;3;A;2,2;3,44;3,58
05/07/2015;11;Sao Paulo;Fluminense;0;0;D;1,71;3,81;5,63
05/07/2015;11;Flamengo;Figueirense;1;2;A;1,59;4,01;6,75
05/07/2015;11;Internacional;Atletico MG;1;3;A;2,42;3,53;3,04
05/07/2015;11;Ponte Preta;Palmeiras;0;2;A;4,06;3,54;2,02
08/07/2015;12;Chapecoense;Gremio;1;0;H;2,83;3,06;2,86
08/07/2015;12;Coritiba;Ponte Preta;0;0;D;2,27;3,28;3,56
08/07/2015;12;Goias;Santos;4;1;H;2,56;3,26;3,06
09/07/2015;12;Figueirense;Joinville;0;2;A;1,79;3,46;5,66
09/07/2015;12;Palmeiras;Avai;3;0;H;1,38;4,93;9,63
09/07/2015;12;Atletico MG;Sport;2;1;H;1,39;5,01;9,41
09/07/2015;12;Internacional;Flamengo;1;2;A;2,02;3,48;4,14
09/07/2015;12;Vasco;Sao Paulo;0;4;A;4,02;3,34;2,1
09/07/2015;12;Corinthians;Athletico PR;2;0;H;1,57;3,9;7,51
10/07/2015;12;Fluminense;Cruzeiro;1;0;H;2,79;3,24;2,79
11/07/2015;13;Gremio;Vasco;2;0;H;1,41;4,46;10,6
11/07/2015;13;Santos;Figueirense;3;0;H;1,55;4,13;7,19
12/07/2015;13;Ponte Preta;Atletico MG;0;2;A;2,87;3,39;2,62
12/07/2015;13;Sao Paulo;Coritiba;3;1;H;1,57;3,9;7,53
12/07/2015;13;Athletico PR;Fluminense;1;2;A;1,96;3,53;4,31
12/07/2015;13;Cruzeiro;Goias;1;0;H;1,61;3,97;6,51
12/07/2015;13;Flamengo;Corinthians;0;3;A;2,5;3,15;3,26
12/07/2015;13;Joinville;Internacional;0;2;A;2,36;3,17;3,51
12/07/2015;13;Avai;Chapecoense;2;1;H;2,74;3;3,06
12/07/2015;13;Sport;Palmeiras;2;2;D;2,52;3,31;3,07
18/07/2015;14;Flamengo;Gremio;1;0;H;2,37;3,15;3,5
18/07/2015;14;Internacional;Goias;2;1;H;2,02;3,34;4,33
19/07/2015;14;Corinthians;Atletico MG;1;0;H;2,46;3,38;3,11
19/07/2015;14;Athletico PR;Chapecoense;1;0;H;2,13;3,23;4,05
19/07/2015;14;Figueirense;Coritiba;0;0;D;2,23;3,28;3,67
19/07/2015;14;Fluminense;Vasco;1;2;A;1,68;3,85;5,91
19/07/2015;14;Palmeiras;Santos;1;0;H;1,76;3,82;5,14
19/07/2015;14;Sport;Sao Paulo;2;0;H;2,42;3,42;3,13
19/07/2015;14;Cruzeiro;Avai;1;1;D;1,46;4,71;7,82
19/07/2015;14;Joinville;Ponte Preta;1;1;D;2,95;3,14;2,69
25/07/2015;15;Avai;Athletico PR;1;2;A;2,32;3,38;3,34
25/07/2015;15;Gremio;Sport;1;1;D;1,6;4,05;6,59
26/07/2015;15;Atletico MG;Figueirense;1;0;H;1,3;5,81;12,33
26/07/2015;15;Chapecoense;Fluminense;2;1;H;2,23;3,25;3,73
26/07/2015;15;Santos;Joinville;2;0;H;1,61;4,04;6,45
26/07/2015;15;Coritiba;Corinthians;1;1;D;2,88;3,12;2,79
26/07/2015;15;Goias;Flamengo;0;1;A;2,61;3,11;3,11
26/07/2015;15;Ponte Preta;Internacional;0;0;D;2,3;3,26;3,53
26/07/2015;15;Sao Paulo;Cruzeiro;1;0;H;2,04;3,47;4,15
26/07/2015;15;Vasco;Palmeiras;1;4;A;3,11;3,33;2,48
30/07/2015;16;Atletico MG;Sao Paulo;3;1;H;1,64;4,02;5,99
30/07/2015;16;Corinthians;Vasco;3;0;H;1,39;4,69;10,46
01/08/2015;16;Fluminense;Gremio;1;0;H;2,2;3,17;3,83
02/08/2015;16;Coritiba;Goias;1;1;D;2,03;3,27;4,4
02/08/2015;16;Palmeiras;Athletico PR;0;1;A;1,52;4,3;7,51
02/08/2015;16;Figueirense;Ponte Preta;3;1;H;2,29;3,28;3,52
02/08/2015;16;Flamengo;Santos;2;2;D;2,02;3,44;4,18
02/08/2015;16;Internacional;Chapecoense;0;0;D;1,67;3,67;6,5
02/08/2015;16;Joinville;Avai;2;0;H;2,55;3,24;3,09
02/08/2015;16;Sport;Cruzeiro;0;0;D;2,23;3,37;3,58
08/08/2015;17;Avai;Fluminense;1;0;H;2,43;3,36;3,17
09/08/2015;17;Santos;Coritiba;3;0;H;1,54;4,3;6,92
09/08/2015;17;Athletico PR;Sport;1;1;D;1,79;3,65;5,2
09/08/2015;17;Vasco;Joinville;0;0;D;1,89;3,43;4,86
09/08/2015;17;Cruzeiro;Palmeiras;2;1;H;2,09;3,33;4,06
09/08/2015;17;Goias;Atletico MG;0;0;D;3,12;3,27;2,51
09/08/2015;17;Ponte Preta;Flamengo;1;0;H;2,66;3,29;2,89
09/08/2015;17;Sao Paulo;Corinthians;1;1;D;2,42;3,1;3,45
09/08/2015;17;Chapecoense;Figueirense;2;2;D;1,93;3,22;5,1
09/08/2015;17;Gremio;Internacional;5;0;H;1,77;3,67;5,33
12/08/2015;18;Coritiba;Palmeiras;2;1;H;3,12;3,21;2,54
12/08/2015;18;Flamengo;Athletico PR;3;2;H;1,85;3,61;4,82
13/08/2015;18;Goias;Chapecoense;0;0;D;1,83;3,44;5,31
13/08/2015;18;Santos;Vasco;1;0;H;1,41;4,92;8,85
13/08/2015;18;Corinthians;Sport;4;3;H;1,57;4,06;6,98
13/08/2015;18;Figueirense;Sao Paulo;0;2;A;3,01;3,35;2,53
13/08/2015;18;Internacional;Fluminense;1;0;H;2,12;3,35;3,94
13/08/2015;18;Ponte Preta;Avai;2;0;H;1,63;3,97;6,24
14/08/2015;18;Atletico MG;Gremio;0;2;A;1,77;3,55;5,61
14/08/2015;18;Joinville;Cruzeiro;3;0;H;3,48;3,15;2,38
15/08/2015;19;Athletico PR;Santos;0;0;D;2,45;3,32;3,16
15/08/2015;19;Vasco;Coritiba;0;1;A;2,27;3,31;3,56
16/08/2015;19;Sao Paulo;Goias;0;3;A;1,66;3,75;6,4
16/08/2015;19;Palmeiras;Flamengo;4;2;H;2,04;3,44;4,09
16/08/2015;19;Avai;Corinthians;1;2;A;3,31;3,23;2,42
16/08/2015;19;Cruzeiro;Internacional;0;0;D;1,69;3,72;6,11
16/08/2015;19;Fluminense;Figueirense;2;1;H;1,7;3,77;5,81
16/08/2015;19;Sport;Ponte Preta;1;1;D;1,85;3,72;4,64
16/08/2015;19;Chapecoense;Atletico MG;2;1;H;3,31;3,37;2,35
16/08/2015;19;Gremio;Joinville;2;1;H;1,43;4,52;9,43
22/08/2015;20;Goias;Vasco;3;0;H;1,65;3,78;6,43
22/08/2015;20;Santos;Avai;5;2;H;1,42;4,77;8,92
23/08/2015;20;Figueirense;Sport;2;1;H;2,3;3,37;3,42
23/08/2015;20;Coritiba;Chapecoense;1;0;H;2,04;3,32;4,27
23/08/2015;20;Ponte Preta;Gremio;0;0;D;2,7;3,23;2,9
23/08/2015;20;Corinthians;Cruzeiro;3;0;H;2,08;3,3;4,14
23/08/2015;20;Flamengo;Sao Paulo;2;1;H;1,96;3,6;4,23
23/08/2015;20;Internacional;Athletico PR;2;0;H;1,94;3,44;4,45
23/08/2015;20;Joinville;Fluminense;2;1;H;2,62;3,19;2,99
23/08/2015;20;Atletico MG;Palmeiras;2;1;H;1,6;4,11;6,33
29/08/2015;21;Vasco;Figueirense;0;1;A;2,08;3,24;4,24
30/08/2015;21;Sao Paulo;Ponte Preta;3;0;H;1,78;3,68;5,26
30/08/2015;21;Avai;Internacional;3;0;H;3,07;3,19;2,59
30/08/2015;21;Gremio;Coritiba;0;0;D;1,56;4,07;7,27
30/08/2015;21;Chapecoense;Corinthians;1;3;A;2,58;3,03;3,25
30/08/2015;21;Fluminense;Atletico MG;1;2;A;2,89;3,34;2,62
30/08/2015;21;Palmeiras;Joinville;3;2;H;1,44;4,45;9,34
30/08/2015;21;Sport;Flamengo;0;1;A;2,21;3,45;3,55
30/08/2015;21;Athletico PR;Goias;3;0;H;2,04;3,29;4,33
30/08/2015;21;Cruzeiro;Santos;0;1;A;2,16;3,29;3,87
02/09/2015;22;Internacional;Vasco;6;0;H;1,56;4,12;7,03
02/09/2015;22;Joinville;Sao Paulo;0;0;D;3,05;3,25;2,57
02/09/2015;22;Ponte Preta;Cruzeiro;1;2;A;2,4;3,28;3,3
03/09/2015;22;Atletico MG;Athletico PR;0;1;A;1,39;5,02;9,53
03/09/2015;22;Flamengo;Avai;3;0;H;1,6;4,07;6,58
03/09/2015;22;Corinthians;Fluminense;2;0;H;1,82;3,53;5,2
03/09/2015;22;Coritiba;Sport;0;0;D;1,96;3,49;4,36
03/09/2015;22;Goias;Palmeiras;1;0;H;2,39;3,25;3,35
03/09/2015;22;Santos;Chapecoense;3;1;H;1,51;4,29;7,84
04/09/2015;22;Figueirense;Gremio;0;2;A;2,58;3,16;3,11
05/09/2015;23;Sao Paulo;Internacional;2;0;H;2,28;3,48;3,35
05/09/2015;23;Vasco;Atletico MG;1;2;A;5,17;3,95;1,73
06/09/2015;23;Athletico PR;Joinville;0;0;D;1,6;3,95;6,92
06/09/2015;23;Chapecoense;Ponte Preta;0;0;D;2,04;3,24;4,41
06/09/2015;23;Cruzeiro;Figueirense;5;1;H;1,55;4,02;7,69
06/09/2015;23;Avai;Coritiba;0;2;A;2,19;3,29;3,78
06/09/2015;23;Fluminense;Flamengo;1;3;A;3,59;3,3;2,25
06/09/2015;23;Gremio;Goias;2;1;H;1,8;3,49;5,46
06/09/2015;23;Palmeiras;Corinthians;3;3;D;2,24;3,33;3,59
06/09/2015;23;Sport;Santos;1;1;D;2,24;3,48;3,43
09/09/2015;24;Atletico MG;Avai;2;0;H;1,24;6,57;14,5
09/09/2015;24;Internacional;Palmeiras;1;0;H;1,8;3,7;5,01
09/09/2015;24;Ponte Preta;Vasco;0;1;A;1,69;3,69;6,15
10/09/2015;24;Figueirense;Athletico PR;1;1;D;2,61;3,24;3
10/09/2015;24;Corinthians;Gremio;1;1;D;1,94;3,34;4,76
10/09/2015;24;Coritiba;Fluminense;1;1;D;2,22;3,27;3,71
10/09/2015;24;Santos;Sao Paulo;3;0;H;2,14;3,46;3,72
10/09/2015;24;Goias;Sport;1;0;H;1,91;3,42;4,79
11/09/2015;24;Flamengo;Cruzeiro;2;0;H;2,04;3,34;4,25
11/09/2015;24;Joinville;Chapecoense;0;0;D;2,43;3,11;3,45
12/09/2015;25;Coritiba;Internacional;0;1;A;2,48;3,25;3,18
13/09/2015;25;Palmeiras;Figueirense;2;0;H;1,48;4,52;7,85
13/09/2015;25;Corinthians;Joinville;3;0;H;1,38;4,65;11,5
13/09/2015;25;Ponte Preta;Santos;3;1;H;3,05;3,29;2,54
13/09/2015;25;Chapecoense;Flamengo;1;3;A;2,64;3,04;3,16
13/09/2015;25;Cruzeiro;Atletico MG;1;1;D;2,68;3,27;2,89
13/09/2015;25;Gremio;Sao Paulo;1;2;A;1,97;3,51;4,28
13/09/2015;25;Vasco;Athletico PR;2;0;H;2,33;3,25;3,47
13/09/2015;25;Avai;Goias;2;1;H;2,2;3,23;3,84
13/09/2015;25;Sport;Fluminense;1;0;H;2,12;3,39;3,88
16/09/2015;26;Fluminense;Palmeiras;1;4;A;2,34;3,35;3,34
16/09/2015;26;Goias;Ponte Preta;1;2;A;1,86;3,6;4,73
16/09/2015;26;Joinville;Sport;1;1;D;2,79;3,11;2,92
17/09/2015;26;Athletico PR;Gremio;1;2;A;2,8;3,22;2,8
17/09/2015;26;Figueirense;Avai;0;1;A;2,18;3,26;3,84
17/09/2015;26;Cruzeiro;Vasco;2;2;D;1,41;4,77;9,34
17/09/2015;26;Internacional;Corinthians;2;1;H;2,4;3,23;3,33
17/09/2015;26;Santos;Atletico MG;4;0;H;2,14;3,6;3,56
17/09/2015;26;Sao Paulo;Chapecoense;0;0;D;1,48;4,39;8,28
18/09/2015;26;Flamengo;Coritiba;0;2;A;1,63;3,82;6,6
19/09/2015;27;Internacional;Figueirense;1;1;D;1,79;3,6;5,28
19/09/2015;27;Palmeiras;Gremio;3;2;H;1,96;3,53;4,31
20/09/2015;27;Ponte Preta;Fluminense;3;1;H;2,54;3,31;3,04
20/09/2015;27;Corinthians;Santos;2;0;H;2,25;3,31;3,59
20/09/2015;27;Goias;Joinville;3;0;H;1,64;3,84;6,49
20/09/2015;27;Atletico MG;Flamengo;4;1;H;1,73;3,97;5,15
20/09/2015;27;Avai;Sao Paulo;2;1;H;2,57;3,25;3,06
20/09/2015;27;Vasco;Sport;2;1;H;2,17;3,39;3,72
20/09/2015;27;Chapecoense;Cruzeiro;0;2;A;2,86;3,07;2,87
20/09/2015;27;Coritiba;Athletico PR;2;0;H;2,77;3,12;2,92
26/09/2015;28;Fluminense;Goias;2;0;H;1,92;3,49;4,62
27/09/2015;28;Gremio;Avai;3;1;H;1,49;4,24;8,38
27/09/2015;28;Athletico PR;Ponte Preta;1;2;A;1,93;3,48;4,57
27/09/2015;28;Santos;Internacional;3;1;H;1,75;3,67;5,5
27/09/2015;28;Figueirense;Corinthians;1;3;A;3,34;3,24;2,4
27/09/2015;28;Flamengo;Vasco;1;2;A;1,79;3,74;5,01
27/09/2015;28;Joinville;Atletico MG;2;2;D;4,95;3,69;1,81
27/09/2015;28;Sao Paulo;Palmeiras;1;1;D;2,12;3,6;3,64
27/09/2015;28;Cruzeiro;Coritiba;2;0;H;1,5;4,31;8,06
27/09/2015;28;Sport;Chapecoense;3;0;H;1,83;3,47;5,27
03/10/2015;29;Coritiba;Atletico MG;0;3;A;3,19;3,41;2,39
03/10/2015;29;Internacional;Sport;2;1;H;1,73;3,88;5,3
04/10/2015;29;Sao Paulo;Athletico PR;1;0;H;1,8;3,62;5,14
04/10/2015;29;Avai;Vasco;1;1;D;1,96;3,41;4,5
04/10/2015;29;Flamengo;Joinville;2;0;H;1,43;4,63;9,03
04/10/2015;29;Cruzeiro;Gremio;0;0;D;2,19;3,29;3,78
04/10/2015;29;Goias;Figueirense;2;3;A;1,62;3,78;7,03
04/10/2015;29;Ponte Preta;Corinthians;2;2;D;3,39;3,18;2,41
04/10/2015;29;Santos;Fluminense;3;1;H;1,53;4,23;7,47
04/10/2015;29;Chapecoense;Palmeiras;5;1;H;2,84;3,15;2,82
14/10/2015;30;Atletico MG;Internacional;2;1;H;1,46;4,87;7,47
14/10/2015;30;Sport;Avai;3;0;H;1,81;3,67;4,99
15/10/2015;30;Figueirense;Flamengo;3;0;H;3,04;3,32;2,52
15/10/2015;30;Joinville;Coritiba;3;1;H;2,69;3,09;3,04
15/10/2015;30;Palmeiras;Ponte Preta;0;1;A;1,61;4,22;6,02
15/10/2015;30;Athletico PR;Cruzeiro;2;2;D;2,37;3,3;3,34
15/10/2015;30;Fluminense;Sao Paulo;2;0;H;2,42;3,36;3,18
15/10/2015;30;Corinthians;Goias;3;0;H;1,68;3,79;6
15/10/2015;30;Vasco;Chapecoense;1;1;D;2,22;3,29;3,69
16/10/2015;30;Gremio;Santos;1;0;H;2,02;3,54;4,03
17/10/2015;31;Avai;Palmeiras;1;3;A;2,63;3,35;2,88
18/10/2015;31;Joinville;Figueirense;1;0;H;2,44;3,24;3,27
18/10/2015;31;Cruzeiro;Fluminense;2;0;H;1,71;3,65;5,95
18/10/2015;31;Ponte Preta;Coritiba;3;0;H;1,86;3,53;4,88
18/10/2015;31;Athletico PR;Corinthians;1;4;A;3,04;3,29;2,55
18/10/2015;31;Flamengo;Internacional;0;1;A;1,9;3,56;4,6
18/10/2015;31;Sao Paulo;Vasco;2;2;D;1,51;4,29;7,81
18/10/2015;31;Gremio;Chapecoense;2;3;A;1,54;4,15;7,49
18/10/2015;31;Santos;Goias;3;1;H;1,56;4,15;6,95
18/10/2015;31;Sport;Atletico MG;4;1;H;3,22;3,48;2,34
24/10/2015;32;Fluminense;Athletico PR;0;1;A;2,02;3,38;4,26
24/10/2015;32;Figueirense;Santos;0;0;D;2,81;3,37;2,69
24/10/2015;32;Internacional;Joinville;1;0;H;1,48;4,56;7,75
25/10/2015;32;Palmeiras;Sport;0;2;A;1,74;3,88;5,24
25/10/2015;32;Chapecoense;Avai;0;0;D;2;3,31;4,45
25/10/2015;32;Corinthians;Flamengo;1;0;H;1,69;3,91;5,6
25/10/2015;32;Coritiba;Sao Paulo;1;2;A;2,62;3,32;2,93
25/10/2015;32;Vasco;Gremio;0;0;D;2,54;3,3;3,04
25/10/2015;32;Goias;Cruzeiro;0;1;A;2,47;3,21;3,24
25/10/2015;32;Atletico MG;Ponte Preta;2;1;H;1,4;5,2;8,59
31/10/2015;33;Sao Paulo;Sport;3;0;H;1,48;4,44;8,01
31/10/2015;33;Avai;Cruzeiro;1;1;D;2,88;3,1;2,81
31/10/2015;33;Ponte Preta;Joinville;1;0;H;1,56;3,98;7,47
31/10/2015;33;Coritiba;Figueirense;1;1;D;2,13;3,21;4,09
01/11/2015;33;Atletico MG;Corinthians;0;3;A;1,85;3,77;4,52
01/11/2015;33;Chapecoense;Athletico PR;0;0;D;1,96;3,3;4,7
01/11/2015;33;Gremio;Flamengo;2;0;H;1,72;3,72;5,65
01/11/2015;33;Santos;Palmeiras;2;1;H;1,79;4;4,59
01/11/2015;33;Vasco;Fluminense;0;1;A;2,34;3,37;3,33
01/11/2015;33;Goias;Internacional;2;1;H;2,2;3,4;3,63
07/11/2015;34;Internacional;Ponte Preta;1;0;H;1,57;4,03;7,07
07/11/2015;34;Athletico PR;Avai;2;1;H;1,93;3,52;4,49
07/11/2015;34;Corinthians;Coritiba;2;1;H;1,34;5,24;11,38
07/11/2015;34;Fluminense;Chapecoense;2;3;A;2,06;3,34;4,17
08/11/2015;34;Cruzeiro;Sao Paulo;2;1;H;2;3,45;4,26
08/11/2015;34;Figueirense;Atletico MG;0;1;A;3,01;3,36;2,5
08/11/2015;34;Flamengo;Goias;4;1;H;1,59;4,02;6,79
08/11/2015;34;Palmeiras;Vasco;0;2;A;1,57;4,35;6,27
08/11/2015;34;Joinville;Santos;0;0;D;4,38;3,61;1,93
08/11/2015;34;Sport;Gremio;1;0;H;2,49;3,26;3,16
15/11/2015;35;Cruzeiro;Sport;3;0;H;1,5;4,53;7,28
18/11/2015;35;Goias;Coritiba;1;3;A;2;3,45;4,27
18/11/2015;35;Athletico PR;Palmeiras;3;3;D;2,38;3,47;3,16
18/11/2015;35;Avai;Joinville;2;1;H;1,98;3,47;4,32
18/11/2015;35;Ponte Preta;Figueirense;0;1;A;2,04;3,42;4,14
19/11/2015;35;Chapecoense;Internacional;1;0;H;2,59;3,14;3,12
19/11/2015;35;Gremio;Fluminense;1;0;H;1,53;4,08;8
20/11/2015;35;Santos;Flamengo;0;0;D;1,7;3,93;5,49
20/11/2015;35;Sao Paulo;Atletico MG;4;2;H;2,08;3,79;3,57
20/11/2015;35;Vasco;Corinthians;1;1;D;2,89;3,21;2,72
21/11/2015;36;Palmeiras;Cruzeiro;1;1;D;3,3;3,6;2,25
22/11/2015;36;Atletico MG;Goias;2;2;D;1,5;4,79;6,75
22/11/2015;36;Corinthians;Sao Paulo;6;1;H;2,6;3,32;2,95
22/11/2015;36;Figueirense;Chapecoense;0;0;D;1,85;3,54;4,96
22/11/2015;36;Internacional;Gremio;1;0;H;2,63;3,25;2,97
22/11/2015;36;Joinville;Vasco;1;2;A;2,77;3,47;2,66
22/11/2015;36;Flamengo;Ponte Preta;1;1;D;1,74;3,84;5,29
22/11/2015;36;Coritiba;Santos;1;0;H;2,74;3,34;2,78
22/11/2015;36;Fluminense;Avai;3;1;H;2,14;3,24;4,02
