Data;Rodada;Mandante;Visitante;Gols_M;Gols_V;Resultado;Odds_M;Odds_E;Odds_V
14/05/2016;1;Flamengo;Sport;1;0;H;1,6;4,15;6,33
14/05/2016;1;Palmeiras;Athletico PR;4;0;H;1,81;3,72;4,94
14/05/2016;1;Atletico MG;Santos;1;0;H;3,17;3,25;2,49
15/05/2016;1;Coritiba;Cruzeiro;1;0;H;2,68;3,25;2,91
15/05/2016;1;Botafogo;Sao Paulo;0;1;A;1,95;3,46;4,45
15/05/2016;1;Santa Cruz;Vitoria;4;1;H;1,83;3,62;4,9
15/05/2016;1;America MG;Fluminense;0;1;A;2,63;3,33;2,91
15/05/2016;1;Corinthians;Gremio;0;0;D;1,85;3,44;5,2
15/05/2016;1;Figueirense;Ponte Preta;0;0;D;2,33;3,19;3,53
15/05/2016;1;Internacional;Chapecoense;0;0;D;1,67;3,7;6,41
21/05/2016;2;Ponte Preta;Palmeiras;2;1;H;2,64;3,25;2,95
21/05/2016;2;Fluminense;Santa Cruz;2;2;D;1,63;3,9;5,2
22/05/2016;2;Cruzeiro;Figueirense;2;2;D;1,41;4,48;10,69
22/05/2016;2;Athletico PR;Atletico MG;1;1;D;2,27;3,45;3,4
22/05/2016;2;Santos;Coritiba;2;1;H;1,57;4,03;7,06
22/05/2016;2;Chapecoense;America MG;3;1;H;1,66;3,78;6,31
22/05/2016;2;Gremio;Flamengo;1;0;H;2,17;3,39;3,71
22/05/2016;2;Sao Paulo;Internacional;1;2;A;2;3,39;4,34
22/05/2016;2;Vitoria;Corinthians;3;2;H;2,88;3,28;2,44
22/05/2016;2;Sport;Botafogo;1;1;D;1,88;3,61;4,67
25/05/2016;3;Botafogo;Athletico PR;2;1;H;2,21;3,38;3,62
25/05/2016;3;Figueirense;Santos;2;2;D;2,53;3,16;3,19
26/05/2016;3;America MG;Vitoria;1;1;D;2,18;3,44;3,62
26/05/2016;3;Flamengo;Chapecoense;2;2;D;1,68;3,75;6,11
26/05/2016;3;Coritiba;Sao Paulo;1;1;D;2,27;3,25;3,61
26/05/2016;3;Palmeiras;Fluminense;2;0;H;1,95;3,56;4,31
26/05/2016;3;Santa Cruz;Cruzeiro;4;1;H;2,54;3,31;3,03
26/05/2016;3;Corinthians;Ponte Preta;3;0;H;1,6;4,12;6,46
26/05/2016;3;Internacional;Sport;1;0;H;1,6;3,92;6,83
27/05/2016;3;Atletico MG;Gremio;0;3;A;2,39;3,27;3,34
28/05/2016;4;Cruzeiro;America MG;1;1;D;1,57;4,08;7,02
28/05/2016;4;Athletico PR;Figueirense;2;1;H;1,75;3,75;5,4
29/05/2016;4;Chapecoense;Santa Cruz;1;1;D;2;3,46;4,22
29/05/2016;4;Ponte Preta;Flamengo;1;2;A;2,55;3,24;3,08
29/05/2016;4;Sport;Corinthians;0;2;A;2,99;3,19;2,65
29/05/2016;4;Fluminense;Botafogo;1;0;H;2,05;3,53;3,95
29/05/2016;4;Sao Paulo;Palmeiras;1;0;H;2,26;3,3;3,56
29/05/2016;4;Vitoria;Atletico MG;1;1;D;2,41;3,3;3,26
29/05/2016;4;Gremio;Coritiba;2;0;H;1,6;3,99;6,74
29/05/2016;4;Santos;Internacional;0;1;A;2,22;3,33;3,65
01/06/2016;5;Internacional;Athletico PR;1;0;H;1,57;4;7,14
02/06/2016;5;Corinthians;Santos;1;0;H;1,57;3,93;7,48
02/06/2016;5;Coritiba;Chapecoense;3;4;A;2,33;3,11;3,21
02/06/2016;5;Santa Cruz;Sport;0;1;A;2,14;3,34;3,86
02/06/2016;5;Atletico MG;Fluminense;1;1;D;1,92;3,52;4,55
02/06/2016;5;Botafogo;Cruzeiro;0;1;A;5,11;3,55;1,83
02/06/2016;5;Figueirense;Sao Paulo;1;0;H;2,69;3,15;2,98
02/06/2016;5;America MG;Ponte Preta;1;2;A;2,34;3,25;3,06
03/06/2016;5;Flamengo;Vitoria;1;0;H;1,46;4,58;8,35
03/06/2016;5;Palmeiras;Gremio;4;3;H;2;3,45;4,26
04/06/2016;6;Athletico PR;Santa Cruz;1;0;H;1,55;4,17;7,07
05/06/2016;6;Chapecoense;Fluminense;0;0;D;2,63;3,31;2,92
05/06/2016;6;Corinthians;Coritiba;2;1;H;1,47;4,34;8,55
05/06/2016;6;America MG;Figueirense;1;0;H;2,3;3,29;3,49
05/06/2016;6;Santos;Botafogo;3;0;H;1,78;3,66;5,3
05/06/2016;6;Flamengo;Palmeiras;1;2;A;2,49;3,34;3,08
05/06/2016;6;Gremio;Ponte Preta;1;0;H;1,51;4,11;8,5
05/06/2016;6;Sport;Atletico MG;4;4;D;2,23;3,44;3,5
05/06/2016;6;Vitoria;Internacional;1;0;H;2,96;3,32;2,59
05/06/2016;6;Cruzeiro;Sao Paulo;0;1;A;1,79;3,52;4,57
11/06/2016;7;Internacional;America MG;3;1;H;1,47;4,39;8,68
11/06/2016;7;Ponte Preta;Chapecoense;2;1;H;2,15;3,37;3,79
11/06/2016;7;Fluminense;Gremio;1;1;D;2,26;3,13;3,81
12/06/2016;7;Sao Paulo;Athletico PR;1;2;A;1,76;3,65;5,44
12/06/2016;7;Botafogo;Vitoria;1;1;D;1,93;3,58;4,4
12/06/2016;7;Coritiba;Sport;3;2;H;1,96;3,46;4,43
12/06/2016;7;Atletico MG;Cruzeiro;2;3;A;2,01;3,55;4,06
12/06/2016;7;Figueirense;Flamengo;1;0;H;2,85;3,23;2,75
12/06/2016;7;Palmeiras;Corinthians;1;0;H;2,32;3,2;3,56
