Temporada;Data;Mandante;Visitante;GF;GC;Resultado;SG
2012;19/05/2012;Palmeiras;Portuguesa;1;1;D;0
2012;19/05/2012;Sport;Flamengo;1;1;D;0
2012;20/05/2012;Figueirense;Nautico;2;1;H;1
2012;20/05/2012;Botafogo;Sao Paulo;4;2;H;2
2012;20/05/2012;Corinthians;Fluminense;0;1;A;-1
2012;20/05/2012;Internacional;Coritiba;2;0;H;2
2012;20/05/2012;Ponte Preta;Atletico MG;0;1;A;-1
2012;20/05/2012;Bahia;Santos;0;0;D;0
2012;20/05/2012;Cruzeiro;Atletico GO;0;0;D;0
2012;20/05/2012;Vasco;Gremio;2;1;H;1
2012;26/05/2012;Atletico GO;Ponte Preta;1;1;D;0
2012;26/05/2012;Flamengo;Internacional;3;3;D;0
2012;26/05/2012;Portuguesa;Vasco;0;1;A;-1
2012;27/05/2012;Nautico;Cruzeiro;0;0;D;0
2012;27/05/2012;Atletico MG;Corinthians;1;0;H;1
2012;27/05/2012;Coritiba;Botafogo;2;3;A;-1
2012;27/05/2012;Santos;Sport;0;0;D;0
2012;27/05/2012;Sao Paulo;Bahia;1;0;H;1
2012;27/05/2012;Fluminense;Figueirense;2;2;D;0
2012;27/05/2012;Gremio;Palmeiras;1;0;H;1
2012;06/06/2012;Atletico GO;Gremio;0;1;A;-1
2012;06/06/2012;Sport;Palmeiras;2;1;H;1
2012;07/06/2012;Atletico MG;Bahia;1;1;D;0
2012;07/06/2012;Coritiba;Portuguesa;2;0;H;2
2012;07/06/2012;Vasco;Nautico;4;2;H;2
2012;07/06/2012;Internacional;Sao Paulo;1;0;H;1
2012;07/06/2012;Ponte Preta;Flamengo;2;2;D;0
2012;07/06/2012;Santos;Fluminense;1;1;D;0
2012;08/06/2012;Botafogo;Cruzeiro;2;3;A;-1
2012;08/06/2012;Corinthians;Figueirense;1;1;D;0
2012;09/06/2012;Flamengo;Coritiba;3;1;H;2
2012;10/06/2012;Palmeiras;Atletico MG;0;1;A;-1
2012;10/06/2012;Portuguesa;Atletico GO;2;0;H;2
2012;10/06/2012;Bahia;Vasco;1;2;A;-1
2012;10/06/2012;Fluminense;Internacional;0;0;D;0
2012;10/06/2012;Gremio;Corinthians;2;0;H;2
2012;10/06/2012;Cruzeiro;Sport;1;0;H;1
2012;10/06/2012;Figueirense;Ponte Preta;0;0;D;0
2012;10/06/2012;Nautico;Botafogo;3;2;H;1
2012;10/06/2012;Sao Paulo;Santos;1;0;H;1
2012;16/06/2012;Cruzeiro;Figueirense;1;0;H;1
2012;16/06/2012;Internacional;Botafogo;1;2;A;-1
2012;17/06/2012;Fluminense;Portuguesa;4;1;H;3
2012;17/06/2012;Bahia;Sport;2;1;H;1
2012;17/06/2012;Flamengo;Santos;1;0;H;1
2012;17/06/2012;Palmeiras;Vasco;1;1;D;0
2012;17/06/2012;Sao Paulo;Atletico MG;1;0;H;1
2012;17/06/2012;Coritiba;Atletico GO;3;0;H;3
2012;17/06/2012;Nautico;Gremio;1;0;H;1
2012;17/06/2012;Ponte Preta;Corinthians;1;0;H;1
2012;23/06/2012;Portuguesa;Sao Paulo;1;0;H;1
2012;23/06/2012;Vasco;Cruzeiro;1;3;A;-2
2012;24/06/2012;Atletico MG;Nautico;5;1;H;4
2012;24/06/2012;Corinthians;Palmeiras;2;1;H;1
2012;24/06/2012;Figueirense;Bahia;1;1;D;0
2012;24/06/2012;Gremio;Flamengo;2;0;H;2
2012;24/06/2012;Atletico GO;Fluminense;1;4;A;-3
2012;24/06/2012;Botafogo;Ponte Preta;1;2;A;-1
2012;24/06/2012;Santos;Coritiba;2;2;D;0
2012;24/06/2012;Sport;Internacional;0;2;A;-2
2012;30/06/2012;Cruzeiro;Sao Paulo;2;3;A;-1
2012;30/06/2012;Nautico;Fluminense;0;2;A;-2
2012;30/06/2012;Vasco;Ponte Preta;3;2;H;1
2012;01/07/2012;Bahia;Internacional;1;1;D;0
2012;01/07/2012;Coritiba;Sport;2;3;A;-1
2012;01/07/2012;Portuguesa;Santos;0;0;D;0
2012;01/07/2012;Flamengo;Atletico GO;3;2;H;1
2012;01/07/2012;Gremio;Atletico MG;0;1;A;-1
2012;01/07/2012;Palmeiras;Figueirense;3;1;H;2
2012;07/07/2012;Botafogo;Bahia;3;0;H;3
2012;07/07/2012;Internacional;Cruzeiro;2;1;H;1
2012;08/07/2012;Atletico GO;Nautico;0;1;A;-1
2012;08/07/2012;Figueirense;Vasco;1;1;D;0
2012;08/07/2012;Fluminense;Flamengo;1;0;H;1
2012;08/07/2012;Santos;Gremio;4;2;H;2
2012;08/07/2012;Sao Paulo;Coritiba;3;1;H;2
2012;08/07/2012;Atletico MG;Portuguesa;2;0;H;2
2012;08/07/2012;Ponte Preta;Palmeiras;1;0;H;1
2012;08/07/2012;Sport;Corinthians;1;1;D;0
2012;11/07/2012;Corinthians;Botafogo;1;3;A;-2
2012;14/07/2012;Corinthians;Nautico;2;1;H;1
2012;14/07/2012;Figueirense;Atletico MG;3;4;A;-1
2012;15/07/2012;Ponte Preta;Coritiba;4;1;H;3
2012;15/07/2012;Bahia;Flamengo;1;2;A;-1
2012;15/07/2012;Botafogo;Fluminense;1;1;D;0
2012;15/07/2012;Cruzeiro;Gremio;1;3;A;-2
2012;15/07/2012;Internacional;Santos;0;0;D;0
2012;15/07/2012;Palmeiras;Sao Paulo;1;1;D;0
2012;15/07/2012;Sport;Portuguesa;2;1;H;1
2012;15/07/2012;Vasco;Atletico GO;1;0;H;1
2012;18/07/2012;Gremio;Sport;3;1;H;2
2012;18/07/2012;Santos;Botafogo;0;0;D;0
2012;19/07/2012;Nautico;Ponte Preta;3;0;H;3
2012;19/07/2012;Portuguesa;Cruzeiro;0;2;A;-2
2012;19/07/2012;Atletico MG;Internacional;3;1;H;2
2012;19/07/2012;Flamengo;Corinthians;0;3;A;-3
2012;19/07/2012;Sao Paulo;Vasco;0;1;A;-1
2012;20/07/2012;Atletico GO;Figueirense;3;2;H;1
2012;20/07/2012;Coritiba;Palmeiras;1;1;D;0
2012;20/07/2012;Fluminense;Bahia;4;0;H;4
2012;21/07/2012;Sport;Atletico MG;1;4;A;-3
2012;21/07/2012;Vasco;Santos;2;0;H;2
2012;22/07/2012;Corinthians;Portuguesa;1;1;D;0
2012;22/07/2012;Cruzeiro;Flamengo;1;0;H;1
2012;22/07/2012;Figueirense;Sao Paulo;0;2;A;-2
2012;22/07/2012;Internacional;Atletico GO;4;1;H;3
2012;22/07/2012;Palmeiras;Nautico;3;0;H;3
2012;22/07/2012;Bahia;Coritiba;2;2;D;0
2012;22/07/2012;Botafogo;Gremio;0;1;A;-1
2012;22/07/2012;Ponte Preta;Fluminense;1;2;A;-1
2012;25/07/2012;Figueirense;Internacional;0;1;A;-1
2012;25/07/2012;Ponte Preta;Sport;1;1;D;0
2012;26/07/2012;Nautico;Coritiba;3;4;A;-1
2012;26/07/2012;Vasco;Botafogo;1;0;H;1
2012;26/07/2012;Atletico GO;Sao Paulo;4;3;H;1
2012;26/07/2012;Corinthians;Cruzeiro;2;0;H;2
2012;26/07/2012;Gremio;Fluminense;1;0;H;1
2012;27/07/2012;Atletico MG;Santos;2;0;H;2
2012;27/07/2012;Flamengo;Portuguesa;0;0;D;0
2012;27/07/2012;Palmeiras;Bahia;0;2;A;-2
2012;28/07/2012;Coritiba;Gremio;2;1;H;1
2012;28/07/2012;Internacional;Vasco;0;0;D;0
2012;29/07/2012;Botafogo;Figueirense;1;0;H;1
2012;29/07/2012;Bahia;Corinthians;0;0;D;0
2012;29/07/2012;Fluminense;Atletico MG;0;0;D;0
2012;29/07/2012;Sao Paulo;Flamengo;4;1;H;3
2012;29/07/2012;Sport;Atletico GO;0;0;D;0
2012;29/07/2012;Cruzeiro;Palmeiras;2;1;H;1
2012;29/07/2012;Portuguesa;Nautico;3;1;H;2
2012;29/07/2012;Santos;Ponte Preta;2;1;H;1
2012;04/08/2012;Atletico GO;Botafogo;1;2;A;-1
2012;04/08/2012;Palmeiras;Internacional;0;1;A;-1
2012;05/08/2012;Portuguesa;Figueirense;2;0;H;2
2012;05/08/2012;Coritiba;Fluminense;0;2;A;-2
2012;05/08/2012;Gremio;Bahia;3;1;H;2
2012;05/08/2012;Sao Paulo;Sport;1;0;H;1
2012;05/08/2012;Vasco;Corinthians;0;0;D;0
2012;05/08/2012;Cruzeiro;Ponte Preta;1;2;A;-1
2012;05/08/2012;Nautico;Santos;3;0;H;3
2012;08/08/2012;Internacional;Nautico;0;0;D;0
2012;08/08/2012;Sport;Vasco;0;2;A;-2
2012;09/08/2012;Bahia;Portuguesa;0;0;D;0
2012;09/08/2012;Corinthians;Atletico GO;1;1;D;0
2012;09/08/2012;Botafogo;Palmeiras;1;2;A;-1
2012;09/08/2012;Figueirense;Flamengo;0;2;A;-2
2012;09/08/2012;Santos;Cruzeiro;4;2;H;2
2012;10/08/2012;Atletico MG;Coritiba;1;0;H;1
2012;10/08/2012;Fluminense;Sao Paulo;2;1;H;1
2012;10/08/2012;Ponte Preta;Gremio;0;0;D;0
2012;11/08/2012;Bahia;Cruzeiro;0;1;A;-1
2012;11/08/2012;Santos;Atletico GO;2;2;D;0
2012;11/08/2012;Sport;Figueirense;0;1;A;-1
2012;12/08/2012;Flamengo;Nautico;2;0;H;2
2012;12/08/2012;Atletico MG;Vasco;1;0;H;1
2012;12/08/2012;Coritiba;Corinthians;1;2;A;-1
2012;12/08/2012;Internacional;Ponte Preta;2;1;H;1
2012;12/08/2012;Sao Paulo;Gremio;1;2;A;-1
2012;12/08/2012;Fluminense;Palmeiras;1;0;H;1
2012;12/08/2012;Portuguesa;Botafogo;1;1;D;0
2012;15/08/2012;Cruzeiro;Fluminense;1;1;D;0
2012;15/08/2012;Gremio;Portuguesa;1;2;A;-1
2012;16/08/2012;Atletico GO;Atletico MG;1;1;D;0
2012;16/08/2012;Ponte Preta;Bahia;0;2;A;-2
2012;16/08/2012;Botafogo;Sport;2;0;H;2
2012;16/08/2012;Nautico;Sao Paulo;3;0;H;3
2012;16/08/2012;Palmeiras;Flamengo;1;0;H;1
2012;17/08/2012;Corinthians;Internacional;1;0;H;1
2012;17/08/2012;Figueirense;Santos;1;3;A;-2
2012;17/08/2012;Vasco;Coritiba;2;2;D;0
2012;18/08/2012;Fluminense;Sport;1;0;H;1
2012;18/08/2012;Nautico;Bahia;1;0;H;1
2012;19/08/2012;Sao Paulo;Ponte Preta;3;0;H;3
2012;19/08/2012;Atletico MG;Botafogo;3;2;H;1
2012;19/08/2012;Coritiba;Cruzeiro;4;0;H;4
2012;19/08/2012;Gremio;Figueirense;4;0;H;4
2012;19/08/2012;Santos;Corinthians;3;2;H;1
2012;19/08/2012;Atletico GO;Palmeiras;2;1;H;1
2012;19/08/2012;Flamengo;Vasco;1;0;H;1
2012;19/08/2012;Portuguesa;Internacional;1;1;D;0
2012;25/08/2012;Palmeiras;Santos;1;2;A;-1
2012;25/08/2012;Vasco;Fluminense;1;2;A;-1
2012;26/08/2012;Ponte Preta;Portuguesa;2;1;H;1
2012;26/08/2012;Botafogo;Flamengo;0;0;D;0
2012;26/08/2012;Corinthians;Sao Paulo;1;2;A;-1
2012;26/08/2012;Figueirense;Coritiba;3;1;H;2
2012;26/08/2012;Internacional;Gremio;0;1;A;-1
2012;26/08/2012;Bahia;Atletico GO;1;1;D;0
2012;26/08/2012;Cruzeiro;Atletico MG;2;2;D;0
2012;26/08/2012;Sport;Nautico;0;0;D;0
2012;29/08/2012;Coritiba;Internacional;1;0;H;1
2012;29/08/2012;Santos;Bahia;1;3;A;-2
2012;30/08/2012;Atletico MG;Ponte Preta;2;2;D;0
2012;30/08/2012;Nautico;Figueirense;3;2;H;1
2012;30/08/2012;Portuguesa;Palmeiras;3;0;H;3
2012;30/08/2012;Atletico GO;Cruzeiro;0;2;A;-2
2012;30/08/2012;Fluminense;Corinthians;1;1;D;0
2012;30/08/2012;Gremio;Vasco;2;0;H;2
2012;31/08/2012;Flamengo;Sport;1;1;D;0
2012;31/08/2012;Sao Paulo;Botafogo;4;0;H;4
2012;01/09/2012;Figueirense;Fluminense;2;2;D;0
2012;01/09/2012;Palmeiras;Gremio;0;0;D;0
2012;02/09/2012;Vasco;Portuguesa;2;0;H;2
2012;02/09/2012;Bahia;Sao Paulo;1;0;H;1
2012;02/09/2012;Corinthians;Atletico MG;1;0;H;1
2012;02/09/2012;Internacional;Flamengo;4;1;H;3
2012;02/09/2012;Sport;Santos;2;1;H;1
2012;02/09/2012;Botafogo;Coritiba;2;0;H;2
2012;02/09/2012;Cruzeiro;Nautico;3;0;H;3
2012;02/09/2012;Ponte Preta;Atletico GO;3;1;H;2
2012;05/09/2012;Bahia;Atletico MG;0;0;D;0
2012;05/09/2012;Flamengo;Ponte Preta;0;1;A;-1
2012;05/09/2012;Nautico;Vasco;1;1;D;0
2012;05/09/2012;Portuguesa;Coritiba;3;0;H;3
2012;06/09/2012;Gremio;Atletico GO;2;1;H;1
2012;06/09/2012;Cruzeiro;Botafogo;1;3;A;-2
2012;06/09/2012;Figueirense;Corinthians;1;0;H;1
2012;06/09/2012;Sao Paulo;Internacional;1;1;D;0
2012;07/09/2012;Fluminense;Santos;3;1;H;2
2012;07/09/2012;Palmeiras;Sport;3;1;H;2
2012;08/09/2012;Coritiba;Flamengo;3;0;H;3
2012;08/09/2012;Ponte Preta;Figueirense;2;2;D;0
2012;09/09/2012;Corinthians;Gremio;3;1;H;2
2012;09/09/2012;Botafogo;Nautico;3;1;H;2
2012;09/09/2012;Internacional;Fluminense;0;1;A;-1
2012;09/09/2012;Santos;Sao Paulo;0;0;D;0
2012;09/09/2012;Atletico GO;Portuguesa;1;1;D;0
2012;09/09/2012;Atletico MG;Palmeiras;3;0;H;3
2012;09/09/2012;Sport;Cruzeiro;2;1;H;1
2012;09/09/2012;Vasco;Bahia;0;4;A;-4
2012;12/09/2012;Corinthians;Ponte Preta;1;1;D;0
2012;12/09/2012;Figueirense;Cruzeiro;2;0;H;2
2012;12/09/2012;Portuguesa;Fluminense;0;2;A;-2
2012;13/09/2012;Atletico GO;Coritiba;1;2;A;-1
2012;13/09/2012;Sport;Bahia;1;1;D;0
2012;13/09/2012;Atletico MG;Sao Paulo;1;0;H;1
2012;13/09/2012;Santos;Flamengo;2;0;H;2
2012;13/09/2012;Vasco;Palmeiras;3;1;H;2
2012;14/09/2012;Botafogo;Internacional;1;1;D;0
2012;14/09/2012;Gremio;Nautico;2;0;H;2
2012;15/09/2012;Sao Paulo;Portuguesa;3;1;H;2
2012;15/09/2012;Fluminense;Atletico GO;1;2;A;-1
2012;16/09/2012;Bahia;Figueirense;2;1;H;1
2012;16/09/2012;Coritiba;Santos;1;2;A;-1
2012;16/09/2012;Cruzeiro;Vasco;1;1;D;0
2012;16/09/2012;Nautico;Atletico MG;1;0;H;1
2012;16/09/2012;Palmeiras;Corinthians;0;2;A;-2
2012;16/09/2012;Flamengo;Gremio;1;1;D;0
2012;16/09/2012;Internacional;Sport;2;2;D;0
2012;16/09/2012;Ponte Preta;Botafogo;0;0;D;0
2012;22/09/2012;Figueirense;Palmeiras;1;3;A;-2
2012;22/09/2012;Fluminense;Nautico;2;1;H;1
2012;23/09/2012;Santos;Portuguesa;1;3;A;-2
2012;23/09/2012;Atletico GO;Flamengo;1;2;A;-1
2012;23/09/2012;Botafogo;Corinthians;2;2;D;0
2012;23/09/2012;Ponte Preta;Vasco;0;0;D;0
2012;23/09/2012;Sao Paulo;Cruzeiro;1;0;H;1
2012;23/09/2012;Atletico MG;Gremio;0;0;D;0
2012;23/09/2012;Internacional;Bahia;3;1;H;2
2012;23/09/2012;Sport;Coritiba;1;0;H;1
2012;27/09/2012;Flamengo;Atletico MG;2;1;H;1
2012;29/09/2012;Cruzeiro;Internacional;0;0;D;0
2012;29/09/2012;Nautico;Atletico GO;2;0;H;2
2012;29/09/2012;Portuguesa;Atletico MG;1;1;D;0
2012;29/09/2012;Vasco;Figueirense;3;1;H;2
2012;30/09/2012;Palmeiras;Ponte Preta;3;0;H;3
2012;30/09/2012;Bahia;Botafogo;2;0;H;2
2012;30/09/2012;Corinthians;Sport;3;0;H;3
2012;30/09/2012;Coritiba;Sao Paulo;1;1;D;0
2012;30/09/2012;Flamengo;Fluminense;0;1;A;-1
2012;30/09/2012;Gremio;Santos;1;1;D;0
2012;05/10/2012;Coritiba;Ponte Preta;1;0;H;1
2012;05/10/2012;Flamengo;Bahia;0;0;D;0
2012;05/10/2012;Portuguesa;Sport;5;1;H;4
2012;06/10/2012;Sao Paulo;Palmeiras;3;0;H;3
2012;06/10/2012;Atletico GO;Vasco;0;1;A;-1
2012;06/10/2012;Nautico;Corinthians;2;1;H;1
2012;06/10/2012;Santos;Internacional;1;1;D;0
2012;06/10/2012;Atletico MG;Figueirense;6;0;H;6
2012;06/10/2012;Fluminense;Botafogo;1;0;H;1
2012;06/10/2012;Gremio;Cruzeiro;2;1;H;1
2012;10/10/2012;Bahia;Fluminense;0;2;A;-2
2012;10/10/2012;Botafogo;Santos;0;2;A;-2
2012;10/10/2012;Cruzeiro;Portuguesa;2;0;H;2
2012;10/10/2012;Figueirense;Atletico GO;3;1;H;2
2012;10/10/2012;Ponte Preta;Nautico;2;1;H;1
2012;11/10/2012;Corinthians;Flamengo;3;2;H;1
2012;11/10/2012;Internacional;Atletico MG;3;0;H;3
2012;11/10/2012;Vasco;Sao Paulo;0;2;A;-2
2012;12/10/2012;Palmeiras;Coritiba;0;1;A;-1
2012;12/10/2012;Sport;Gremio;1;3;A;-2
2012;13/10/2012;Atletico GO;Internacional;3;1;H;2
2012;13/10/2012;Flamengo;Cruzeiro;1;1;D;0
2012;14/10/2012;Portuguesa;Corinthians;1;1;D;0
2012;14/10/2012;Atletico MG;Sport;2;1;H;1
2012;14/10/2012;Coritiba;Bahia;2;1;H;1
2012;14/10/2012;Nautico;Palmeiras;1;0;H;1
2012;14/10/2012;Santos;Vasco;2;0;H;2
2012;14/10/2012;Sao Paulo;Figueirense;2;0;H;2
2012;14/10/2012;Fluminense;Ponte Preta;2;1;H;1
2012;14/10/2012;Gremio;Botafogo;1;1;D;0
2012;17/10/2012;Bahia;Palmeiras;0;1;A;-1
2012;17/10/2012;Coritiba;Nautico;2;1;H;1
2012;17/10/2012;Fluminense;Gremio;2;2;D;0
2012;17/10/2012;Internacional;Figueirense;2;3;A;-1
2012;18/10/2012;Cruzeiro;Corinthians;2;0;H;2
2012;18/10/2012;Portuguesa;Flamengo;0;0;D;0
2012;18/10/2012;Santos;Atletico MG;2;2;D;0
2012;19/10/2012;Botafogo;Vasco;3;2;H;1
2012;19/10/2012;Sao Paulo;Atletico GO;2;0;H;2
2012;19/10/2012;Sport;Ponte Preta;3;1;H;2
2012;20/10/2012;Corinthians;Bahia;1;1;D;0
2012;20/10/2012;Gremio;Coritiba;0;0;D;0
2012;20/10/2012;Palmeiras;Cruzeiro;2;0;H;2
2012;21/10/2012;Atletico MG;Fluminense;3;2;H;1
2012;21/10/2012;Flamengo;Sao Paulo;1;0;H;1
2012;21/10/2012;Nautico;Portuguesa;0;0;D;0
2012;21/10/2012;Atletico GO;Sport;0;1;A;-1
2012;21/10/2012;Ponte Preta;Santos;1;0;H;1
2012;24/10/2012;Vasco;Internacional;1;2;A;-1
2012;25/10/2012;Figueirense;Botafogo;0;2;A;-2
2012;26/10/2012;Fluminense;Coritiba;2;1;H;1
2012;26/10/2012;Ponte Preta;Cruzeiro;1;0;H;1
2012;26/10/2012;Santos;Nautico;0;0;D;0
2012;27/10/2012;Corinthians;Vasco;1;0;H;1
2012;27/10/2012;Internacional;Palmeiras;2;1;H;1
2012;27/10/2012;Bahia;Gremio;1;1;D;0
2012;27/10/2012;Botafogo;Atletico GO;4;0;H;4
2012;27/10/2012;Figueirense;Portuguesa;0;0;D;0
2012;27/10/2012;Sport;Sao Paulo;2;4;A;-2
2012;31/10/2012;Atletico MG;Flamengo;1;1;D;0
2012;03/11/2012;Cruzeiro;Santos;0;4;A;-4
2012;03/11/2012;Gremio;Ponte Preta;1;0;H;1
2012;03/11/2012;Flamengo;Figueirense;1;0;H;1
2012;04/11/2012;Atletico GO;Corinthians;0;2;A;-2
2012;04/11/2012;Palmeiras;Botafogo;2;2;D;0
2012;04/11/2012;Sao Paulo;Fluminense;1;1;D;0
2012;04/11/2012;Vasco;Sport;0;3;A;-3
2012;04/11/2012;Coritiba;Atletico MG;1;0;H;1
2012;04/11/2012;Nautico;Internacional;3;0;H;3
2012;04/11/2012;Portuguesa;Bahia;0;1;A;-1
2012;10/11/2012;Atletico GO;Santos;2;1;H;1
2012;10/11/2012;Botafogo;Portuguesa;3;0;H;3
2012;10/11/2012;Corinthians;Coritiba;5;1;H;4
2012;11/11/2012;Gremio;Sao Paulo;2;1;H;1
2012;11/11/2012;Palmeiras;Fluminense;2;3;A;-1
2012;11/11/2012;Vasco;Atletico MG;1;1;D;0
2012;11/11/2012;Cruzeiro;Bahia;3;1;H;2
2012;11/11/2012;Figueirense;Sport;1;1;D;0
2012;11/11/2012;Nautico;Flamengo;0;1;A;-1
2012;11/11/2012;Ponte Preta;Internacional;1;0;H;1
2012;17/11/2012;Coritiba;Vasco;1;2;A;-1
2012;17/11/2012;Santos;Figueirense;2;0;H;2
2012;18/11/2012;Atletico MG;Atletico GO;2;2;D;0
2012;18/11/2012;Bahia;Ponte Preta;1;0;H;1
2012;18/11/2012;Flamengo;Palmeiras;1;1;D;0
2012;18/11/2012;Fluminense;Cruzeiro;0;2;A;-2
2012;18/11/2012;Sao Paulo;Nautico;2;1;H;1
2012;18/11/2012;Internacional;Corinthians;0;2;A;-2
2012;18/11/2012;Portuguesa;Gremio;2;2;D;0
2012;18/11/2012;Sport;Botafogo;2;0;H;2
2012;24/11/2012;Corinthians;Santos;1;1;D;0
2012;24/11/2012;Vasco;Flamengo;1;1;D;0
2012;25/11/2012;Bahia;Nautico;1;1;D;0
2012;25/11/2012;Botafogo;Atletico MG;2;3;A;-1
2012;25/11/2012;Cruzeiro;Coritiba;2;1;H;1
2012;25/11/2012;Figueirense;Gremio;2;4;A;-2
2012;25/11/2012;Internacional;Portuguesa;0;2;A;-2
2012;25/11/2012;Palmeiras;Atletico GO;1;2;A;-1
2012;25/11/2012;Ponte Preta;Sao Paulo;0;0;D;0
2012;25/11/2012;Sport;Fluminense;1;1;D;0
2012;01/12/2012;Flamengo;Botafogo;2;2;D;0
2012;01/12/2012;Santos;Palmeiras;3;1;H;2
2012;02/12/2012;Atletico GO;Bahia;0;1;A;-1
2012;02/12/2012;Atletico MG;Cruzeiro;3;2;H;1
2012;02/12/2012;Coritiba;Figueirense;3;0;H;3
2012;02/12/2012;Fluminense;Vasco;1;2;A;-1
2012;02/12/2012;Gremio;Internacional;0;0;D;0
2012;02/12/2012;Nautico;Sport;1;0;H;1
2012;02/12/2012;Portuguesa;Ponte Preta;0;0;D;0
2012;02/12/2012;Sao Paulo;Corinthians;3;1;H;2
2013;25/05/2013;Vasco;Portuguesa;1;0;H;1
2013;25/05/2013;Vitoria;Internacional;2;2;D;0
2013;26/05/2013;Corinthians;Botafogo;1;1;D;0
2013;26/05/2013;Criciuma;Bahia;3;1;H;2
2013;26/05/2013;Gremio;Nautico;2;0;H;2
2013;26/05/2013;Ponte Preta;Sao Paulo;0;2;A;-2
2013;26/05/2013;Santos;Flamengo;0;0;D;0
2013;26/05/2013;Coritiba;Atletico MG;2;1;H;1
2013;26/05/2013;Cruzeiro;Goias;5;0;H;5
2013;26/05/2013;Fluminense;Athletico PR;2;1;H;1
2013;29/05/2013;Athletico PR;Cruzeiro;2;2;D;0
2013;29/05/2013;Botafogo;Santos;2;1;H;1
2013;29/05/2013;Sao Paulo;Vasco;5;1;H;4
2013;30/05/2013;Bahia;Coritiba;0;0;D;0
2013;30/05/2013;Flamengo;Ponte Preta;0;2;A;-2
2013;30/05/2013;Nautico;Vitoria;0;3;A;-3
2013;30/05/2013;Goias;Corinthians;1;1;D;0
2013;30/05/2013;Internacional;Criciuma;2;0;H;2
2013;01/06/2013;Athletico PR;Flamengo;2;2;D;0
2013;01/06/2013;Botafogo;Cruzeiro;2;1;H;1
2013;01/06/2013;Santos;Gremio;1;1;D;0
2013;01/06/2013;Goias;Coritiba;1;1;D;0
2013;01/06/2013;Vitoria;Vasco;2;0;H;2
2013;02/06/2013;Corinthians;Ponte Preta;1;0;H;1
2013;02/06/2013;Atletico MG;Sao Paulo;0;0;D;0
2013;02/06/2013;Fluminense;Criciuma;3;0;H;3
2013;02/06/2013;Internacional;Bahia;1;2;A;-1
2013;02/06/2013;Nautico;Portuguesa;2;2;D;0
2013;05/06/2013;Criciuma;Santos;3;1;H;2
2013;05/06/2013;Portuguesa;Internacional;1;1;D;0
2013;05/06/2013;Sao Paulo;Goias;0;1;A;-1
2013;06/06/2013;Gremio;Vitoria;1;0;H;1
2013;06/06/2013;Ponte Preta;Athletico PR;3;4;A;-1
2013;06/06/2013;Vasco;Atletico MG;2;0;H;2
2013;06/06/2013;Bahia;Botafogo;2;1;H;1
2013;06/06/2013;Cruzeiro;Corinthians;1;0;H;1
2013;06/06/2013;Flamengo;Nautico;0;1;A;-1
2013;07/06/2013;Coritiba;Fluminense;2;1;H;1
2013;08/06/2013;Criciuma;Flamengo;0;3;A;-3
2013;08/06/2013;Cruzeiro;Internacional;2;2;D;0
2013;08/06/2013;Corinthians;Portuguesa;0;0;D;0
2013;08/06/2013;Vasco;Bahia;1;1;D;0
2013;09/06/2013;Ponte Preta;Botafogo;0;2;A;-2
2013;09/06/2013;Atletico MG;Gremio;2;0;H;2
2013;09/06/2013;Coritiba;Nautico;1;0;H;1
2013;09/06/2013;Fluminense;Goias;2;1;H;1
2013;09/06/2013;Vitoria;Athletico PR;3;2;H;1
2013;12/06/2013;Santos;Atletico MG;1;0;H;1
2013;13/06/2013;Gremio;Sao Paulo;1;1;D;0
2013;13/06/2013;Portuguesa;Fluminense;2;1;H;1
2013;06/07/2013;Athletico PR;Gremio;1;1;D;0
2013;06/07/2013;Flamengo;Coritiba;2;2;D;0
2013;06/07/2013;Nautico;Ponte Preta;1;3;A;-2
2013;07/07/2013;Portuguesa;Cruzeiro;1;1;D;0
2013;07/07/2013;Bahia;Corinthians;0;2;A;-2
2013;07/07/2013;Goias;Vitoria;1;0;H;1
2013;07/07/2013;Internacional;Vasco;5;3;H;2
2013;07/07/2013;Sao Paulo;Santos;0;2;A;-2
2013;07/07/2013;Atletico MG;Criciuma;3;2;H;1
2013;07/07/2013;Botafogo;Fluminense;1;0;H;1
2013;11/07/2013;Sao Paulo;Bahia;1;2;A;-1
2013;13/07/2013;Fluminense;Internacional;2;3;A;-1
2013;13/07/2013;Santos;Portuguesa;4;1;H;3
2013;14/07/2013;Ponte Preta;Bahia;0;0;D;0
2013;14/07/2013;Corinthians;Atletico MG;0;1;A;-1
2013;14/07/2013;Coritiba;Athletico PR;1;0;H;1
2013;14/07/2013;Gremio;Botafogo;2;1;H;1
2013;14/07/2013;Vitoria;Sao Paulo;3;2;H;1
2013;14/07/2013;Criciuma;Goias;0;0;D;0
2013;14/07/2013;Cruzeiro;Nautico;3;0;H;3
2013;14/07/2013;Vasco;Flamengo;0;1;A;-1
2013;20/07/2013;Botafogo;Nautico;2;0;H;2
2013;20/07/2013;Criciuma;Gremio;2;1;H;1
2013;20/07/2013;Sao Paulo;Cruzeiro;0;3;A;-3
2013;21/07/2013;Athletico PR;Corinthians;1;1;D;0
2013;21/07/2013;Internacional;Flamengo;1;0;H;1
2013;21/07/2013;Santos;Coritiba;2;2;D;0
2013;21/07/2013;Vitoria;Bahia;0;0;D;0
2013;21/07/2013;Fluminense;Vasco;1;3;A;-2
2013;21/07/2013;Goias;Portuguesa;2;1;H;1
