Date;Season;Home;Away;HG;AG;Res;PH;PD;PA
30/11/2014;37;Bahia;Gremio;1;0;H;3,12;3,41;2,43
06/12/2014;38;Corinthians;Criciuma;2;1;H;1,24;6,25;16,65
06/12/2014;38;Figueirense;Internacional;1;2;A;3,83;3,57;2,04
07/12/2014;38;Botafogo;Atletico MG;0;0;D;4;3,84;1,94
07/12/2014;38;Coritiba;Bahia;3;2;H;2,06;3,63;3,76
07/12/2014;38;Cruzeiro;Fluminense;2;1;H;1,68;4,07;5,28
07/12/2014;38;Goias;Chapecoense;4;2;H;2,07;3,39;3,97
07/12/2014;38;Gremio;Flamengo;1;1;D;1,5;4,34;7,91
07/12/2014;38;Palmeiras;Athletico PR;1;1;D;1,44;4,64;8,37
07/12/2014;38;Sport;Sao Paulo;1;0;H;2,46;3,52;2,94
07/12/2014;38;Vitoria;Santos;0;1;A;1,79;3,83;4,92
